project_code,customer_code,invoice_number,email,name,status,amount,created_at,branch
PRJ-0,CUST-0,INV-0,user0@example.com,Company 0,active,100,1/1/2024,2201
PRJ-0,CUST-0,INV-0,user0@example.com,Company 0,active,100,1/1/2024,2201
PRJ-1,CUST-1,INV-1,user1@example.com,Company 1,active,100,1/1/2024,2201
PRJ-2,CUST-2,INV-2,user2@example.com,Company 2,active,100,1/1/2024,2201
PRJ-3,CUST-3,INV-3,user3@example.com,Company 3,active,100,1/1/2024,2201
PRJ-4,CUST-4,INV-4,user4@example.com,Company 4,active,100,1/1/2024,2201
PRJ-5,CUST-5,INV-5,user5@example.com,Company 5,active,100,1/1/2024,2201
PRJ-6,CUST-6,INV-6,user6@example.com,Company 6,active,100,1/1/2024,2201
PRJ-7,CUST-7,INV-7,user7@example.com,Company 7,active,100,1/1/2024,2201
PRJ-8,CUST-8,INV-8,user8@example.com,Company 8,active,100,1/1/2024,2201
PRJ-9,CUST-9,INV-9,user9@example.com,Company 9,active,100,1/1/2024,
PRJ-10,CUST-10,INV-10,user10@example.com,Company 10,active,100,1/1/2024,2201
PRJ-11,CUST-11,INV-11,user11@example.com,Company 11,active,100,1/1/2024,2201
PRJ-12,CUST-12,INV-12,user12@example.com,Company 12,active,100,1/1/2024,2201
PRJ-13,CUST-13,INV-13,user13@example.com,Company 13,active,100,1/1/2024,2201
PRJ-14,CUST-14,INV-14,user14@example.com,Company 14,active,100,1/1/2024,2201
PRJ-15,CUST-15,INV-15,user15@example.com,Company 15,active,100,1/1/2024,2201
PRJ-16,CUST-16,INV-16,user16@example.com,Company 16,active,100,1/1/2024,2201
PRJ-17,CUST-17,INV-17,user17@example.com,Company 17,active,100,1/1/2024,2201
PRJ-18,CUST-18,INV-18,user18@example.com,dd 18,active,100,1/1/2024,2201
PRJ-19,CUST-19,INV-19,user19@example.com,Company 19,active,100,1/1/2024,2201
PRJ-20,CUST-20,INV-20,user20@example.com,Company 20,active,100,1/1/2024,2201
PRJ-21,CUST-21,INV-21,user21@example.com,Company 21,active,100,1/1/2024,2201
PRJ-22,CUST-22,INV-22,user22@example.com,Company 22,active,100,1/1/2024,2201
PRJ-23,CUST-23,INV-23,user23@example.com,Company 23,active,100,1/1/2024,2201
PRJ-24,CUST-24,INV-24,user24@example.com,Company 24,active,100,1/1/2024,2201
PRJ-25,CUST-25,INV-25,user25@example.com,Company 25,active,100,1/1/2024,2201
PRJ-26,CUST-26,INV-26,user26@example.com,Company 26,active,100,1/1/2024,2201
PRJ-27,CUST-27,INV-27,user27@example.com,Company 27,active,100,1/1/2024,2201
PRJ-28,CUST-28,INV-28,user28@example.com,CompanyCompanyCompanyCompanyCompanyCompanyCompanyCompanyCompanyCompanyCompanyCompanyCompanyCompanyCompanyCompanyCompanyCompany 28,active,100,1/1/2024,2201
PRJ-29,CUST-29,INV-29,user29@example.com,Company 29,active,100,1/1/2024,2201
PRJ-30,CUST-30,INV-30,user30@example.com,Company 30,active,100,1/1/2024,2201
PRJ-31,CUST-31,INV-31,user31@example.com,Company 31,active,100,1/1/2024,2201
PRJ-32,CUST-32,INV-32,user32@example.com,Company 32,active,100,1/1/2024,2201
PRJ-33,CUST-33,INV-33,user33@example.com,Company 33,active,100,1/1/2024,2201
PRJ-34,CUST-34,INV-34,user34@example.com,Company 34,active,100,1/1/2024,2201
PRJ-35,CUST-35,INV-35,user35@example.com,Company 35,active,100,1/1/2024,2201
PRJ-36,CUST-36,INV-36,user36@example.com,Company 36,active,100,1/1/2024,2201
PRJ-37,CUST-37,INV-37,user37@example.com,Company 37,active,100,1/1/2024,2201
PRJ-38,CUST-38,INV-38,user38@example.com,Company 38,active,100,1/1/2024,2201
PRJ-39,CUST-39,INV-39,user39@example.com,Company 39,active,100,1/1/2024,2201
PRJ-40,CUST-40,INV-40,user40@example.com,Company 40,active,100,1/1/2024,2201
PRJ-41,CUST-41,INV-41,user41@example.com,Company 41,active,100,1/1/2024,2201
PRJ-42,CUST-42,INV-42,user42@example.com,Company 42,active,100,1/1/2024,2201
PRJ-43,CUST-43,INV-43,user43@example.com,Company 43,active,100,1/1/2024,2201
PRJ-44,CUST-44,INV-44,user44@example.com,Company 44,active,100,1/1/2024,2201
PRJ-45,CUST-45,INV-45,user45@example.com,Company 45,active,100,1/1/2024,2201
PRJ-46,CUST-46,INV-46,user46@example.com,Company 46,active,100,1/1/2024,2201
PRJ-47,CUST-47,INV-47,user47@example.com,Company 47,active,100,1/1/2024,2201
PRJ-48,CUST-48,INV-48,user48@example.com,Company 48,active,100,1/1/2024,2201
PRJ-49,CUST-49,INV-49,user49@example.com,Company 49,active,100,1/1/2024,2201
PRJ-50,CUST-50,INV-50,user50@example.com,Company 50,active,100,1/1/2024,2201
PRJ-51,CUST-51,INV-51,user51@example.com,Company 51,active,100,1/1/2024,2201
PRJ-52,CUST-52,INV-52,user52@example.com,Company 52,active,100,1/1/2024,2201
PRJ-53,CUST-53,INV-53,user53@example.com,Company 53,active,100,1/1/2024,2201
PRJ-54,CUST-54,INV-54,user54@example.com,Company 54,active,100,1/1/2024,2201
PRJ-55,CUST-55,INV-55,user55@example.com,Company 55,active,100,1/1/2024,2201
PRJ-56,CUST-56,INV-56,user56@example.com,Company 56,active,100,1/1/2024,2201
PRJ-57,CUST-57,INV-57,user57@example.com,Company 57,active,100,1/1/2024,2201
PRJ-58,CUST-58,INV-58,user58@example.com,Company 58,active,100,1/1/2024,2201
PRJ-59,CUST-59,INV-59,user59@example.com,Company 59,active,100,1/1/2024,2201
PRJ-60,CUST-60,INV-60,user60@example.com,Company 60,active,100,1/1/2024,2201
PRJ-61,CUST-61,INV-61,user61@example.com,Company 61,active,100,1/1/2024,2201
PRJ-62,CUST-62,INV-62,user62@example.com,Company 62,active,100,1/1/2024,2201
PRJ-63,CUST-63,INV-63,user63@example.com,Company 63,active,100,1/1/2024,2201
PRJ-64,CUST-64,INV-64,user64@example.com,Company 64,active,100,1/1/2024,2201
PRJ-65,CUST-65,INV-65,user65@example.com,Company 65,active,100,1/1/2024,2201
PRJ-66,CUST-66,INV-66,user66@example.com,Company 66,active,100,1/1/2024,2201
PRJ-67,CUST-67,INV-67,user67@example.com,Company 67,active,100,1/1/2024,2201
PRJ-68,CUST-68,INV-68,user68@example.com,Company 68,active,100,1/1/2024,2201
PRJ-69,CUST-69,INV-69,user69@example.com,Company 69,active,100,1/1/2024,2201
PRJ-70,CUST-70,INV-70,user70@example.com,Company 70,active,100,1/1/2024,2201
PRJ-71,CUST-71,INV-71,user71@example.com,Company 71,active,100,1/1/2024,2201
PRJ-72,CUST-72,INV-72,user72@example.com,Company 72,active,100,1/1/2024,2201
PRJ-73,CUST-73,INV-73,user73@example.com,Company 73,active,100,1/1/2024,2201
PRJ-74,CUST-74,INV-74,user74@example.com,Company 74,active,100,1/1/2024,2201
PRJ-75,CUST-75,INV-75,user75@example.com,Company 75,active,100,1/1/2024,2201
PRJ-76,CUST-76,INV-76,user76@example.com,Company 76,active,100,1/1/2024,2201
PRJ-77,CUST-77,INV-77,user77@example.com,Company 77,active,100,1/1/2024,2201
PRJ-78,CUST-78,INV-78,user78@example.com,Company 78,active,100,1/1/2024,2201
PRJ-79,CUST-79,INV-79,user79@example.com,Company 79,active,100,1/1/2024,2201
PRJ-80,CUST-80,INV-80,user80@example.com,Company 80,active,100,1/1/2024,2201
PRJ-81,CUST-81,INV-81,user81@example.com,Company 81,active,100,1/1/2024,2201
PRJ-82,CUST-82,INV-82,user82@example.com,Company 82,active,100,1/1/2024,2201
PRJ-83,CUST-83,INV-83,user83@example.com,Company 83,active,100,1/1/2024,2201
PRJ-84,CUST-84,INV-84,user84@example.com,Company 84,active,100,1/1/2024,2201
PRJ-85,CUST-85,INV-85,user85@example.com,Company 85,active,100,1/1/2024,2201
PRJ-86,CUST-86,INV-86,user86@example.com,Company 86,active,100,1/1/2024,2201
PRJ-87,CUST-87,INV-87,user87@example.com,Company 87,active,100,1/1/2024,2201
PRJ-88,CUST-88,INV-88,user88@example.com,Company 88,active,100,1/1/2024,2201
PRJ-89,CUST-89,INV-89,user89@example.com,Company 89,active,100,1/1/2024,2201
PRJ-90,CUST-90,INV-90,user90@example.com,Company 90,active,100,1/1/2024,2201
PRJ-91,CUST-91,INV-91,user91@example.com,Company 91,active,100,1/1/2024,2201
PRJ-92,CUST-92,INV-92,user92@example.com,Company 92,active,100,1/1/2024,2201
PRJ-93,CUST-93,INV-93,user93@example.com,Company 93,active,100,1/1/2024,2201
PRJ-94,CUST-94,INV-94,user94@example.com,Company 94,active,100,1/1/2024,2201
PRJ-95,CUST-95,INV-95,user95@example.com,Company 95,active,100,1/1/2024,2201
PRJ-96,CUST-96,INV-96,user96@example.com,Company 96,active,100,1/1/2024,2201
PRJ-97,CUST-97,INV-97,user97@example.com,Company 97,active,100,1/1/2024,2201
PRJ-98,CUST-98,INV-98,user98@example.com,Company 98,active,100,1/1/2024,2201
PRJ-99,CUST-99,INV-99,user99@example.com,Company 99,active,100,1/1/2024,2201
PRJ-100,,INV-100,user100@example.com,Company 100,active,100,1/1/2024,2201
PRJ-101,CUST-101,INV-101,user101@example.com,Company 101,active,100,1/1/2024,2201
PRJ-102,CUST-102,INV-102,user102@example.com,Company 102,active,100,1/1/2024,2201
PRJ-103,CUST-103,INV-103,user103@example.com,Company 103,active,100,1/1/2024,2201
PRJ-104,CUST-104,INV-104,user104@example.com,Company 104,active,100,1/1/2024,2201
PRJ-105,CUST-105,INV-105,user105@example.com,Company 105,active,100,1/1/2024,2201
PRJ-106,CUST-106,INV-106,user106@example.com,Company 106,active,100,1/1/2024,2201
PRJ-107,CUST-107,INV-107,user107@example.com,Company 107,active,100,1/1/2024,2201
